(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(28503, 86, 4);40;ם;28503;(1, 23, 4, 31, 28503);עמכם;4;7607;(1, 23, 4, 9, 7607);9;גר ותושב אנכי עמכם תנו לי אחזת קבר עמכם ואקברה מתי מלפני
(28503, 86, 4);300;ש;28589;(1, 23, 6, 49, 28589);איש;3;7629;(1, 23, 6, 12, 7629);12;שמענו אדני נשיא אלהים אתה בתוכנו במבחר קברינו קבר את מתך איש ממנו את קברו לא יכלה ממך מקבר מתך
(28503, 86, 4);10;י;28675;(1, 23, 8, 32, 28675);מתי;3;7654;(1, 23, 8, 10, 7654);10;וידבר אתם לאמר אם יש את נפשכם לקבר את מתי מלפני שמעוני ופגעו לי בעפרון בן צחר
(28503, 86, 4);8;ח;28761;(1, 23, 9, 57, 28761);לאחזת;3;7677;(1, 23, 9, 16, 7677);16;ויתן לי את מערת המכפלה אשר לו אשר בקצה שדהו בכסף מלא יתננה לי בתוככם לאחזת קבר
