(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(140724, -63, 4);40;מ;140724;(2, 40, 19, 15, 140724);המשכן;2;37087;(2, 40, 19, 5, 37087);5;ויפרש את האהל על המשכן וישם את מכסה האהל עליו מלמעלה כאשר צוה יהוה את משה
(140724, -63, 4);300;ש;140661;(2, 40, 18, 12, 140661);המשכן;3;37070;(2, 40, 18, 4, 37070);4;ויקם משה את המשכן ויתן את אדניו וישם את קרשיו ויתן את בריחיו ויקם את עמודיו
(140724, -63, 4);10;י;140598;(2, 40, 16, 17, 140598);יהוה;1;37054;(2, 40, 16, 6, 37054);6;ויעש משה ככל אשר צוה יהוה אתו כן עשה
(140724, -63, 4);8;ח;140535;(2, 40, 15, 15, 140535);משחת;3;37037;(2, 40, 15, 4, 37037);4;ומשחת אתם כאשר משחת את אביהם וכהנו לי והיתה להית להם משחתם לכהנת עולם לדרתם
