(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(164051, -94, 4);40;ם;164051;(3, 14, 51, 52, 164051);בדם;3;43360;(3, 14, 51, 15, 43360);15;ולקח את עץ הארז ואת האזב ואת שני התולעת ואת הצפר החיה וטבל אתם בדם הצפר השחוטה ובמים החיים והזה אל הבית שבע פעמים
(164051, -94, 4);300;ש;163957;(3, 14, 49, 30, 163957);ושני;2;43333;(3, 14, 49, 9, 43333);9;ולקח לחטא את הבית שתי צפרים ועץ ארז ושני תולעת ואזב
(164051, -94, 4);10;י;163863;(3, 14, 48, 6, 163863);יבא;1;43306;(3, 14, 48, 3, 43306);3;ואם בא יבא הכהן וראה והנה לא פשה הנגע בבית אחרי הטח את הבית וטהר הכהן את הבית כי נרפא הנגע
(164051, -94, 4);8;ח;163769;(3, 14, 45, 46, 163769);מחוץ;2;43279;(3, 14, 45, 14, 43279);14;ונתץ את הבית את אבניו ואת עציו ואת כל עפר הבית והוציא אל מחוץ לעיר אל מקום טמא
