(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(109292, 64, 4);40;מ;109292;(2, 21, 29, 43, 109292);והמית;3;28892;(2, 21, 29, 11, 28892);11;ואם שור נגח הוא מתמל שלשם והועד בבעליו ולא ישמרנו והמית איש או אשה השור יסקל וגם בעליו יומת
(109292, 64, 4);300;ש;109356;(2, 21, 30, 34, 109356);יושת;3;28910;(2, 21, 30, 10, 28910);10;אם כפר יושת עליו ונתן פדין נפשו ככל אשר יושת עליו
(109292, 64, 4);10;י;109420;(2, 21, 32, 31, 109420);יתן;1;28931;(2, 21, 32, 10, 28931);10;אם עבד יגח השור או אמה כסף שלשים שקלים יתן לאדניו והשור יסקל
(109292, 64, 4);8;ח;109484;(2, 21, 33, 47, 109484);חמור;1;28950;(2, 21, 33, 16, 28950);16;וכי יפתח איש בור או כי יכרה איש בר ולא יכסנו ונפל שמה שור או חמור
