(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(173876, -42, 4);40;מ;173876;(3, 21, 9, 29, 173876);מחללת;1;46019;(3, 21, 9, 10, 46019);10;ובת איש כהן כי תחל לזנות את אביה היא מחללת באש תשרף
(173876, -42, 4);300;ש;173834;(3, 21, 8, 41, 173834);קדוש;4;46006;(3, 21, 8, 12, 46006);12;וקדשתו כי את לחם אלהיך הוא מקריב קדש יהיה לך כי קדוש אני יהוה מקדשכם
(173876, -42, 4);10;י;173792;(3, 21, 7, 50, 173792);לאלהיו;5;45994;(3, 21, 7, 14, 45994);14;אשה זנה וחללה לא יקחו ואשה גרושה מאישה לא יקחו כי קדש הוא לאלהיו
(173876, -42, 4);8;ח;173750;(3, 21, 7, 8, 173750);וחללה;2;45983;(3, 21, 7, 3, 45983);3;אשה זנה וחללה לא יקחו ואשה גרושה מאישה לא יקחו כי קדש הוא לאלהיו
