(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(201217, 59, 4);40;מ;201217;(4, 7, 66, 30, 201217);עמישדי;2;53051;(4, 7, 66, 8, 53051);8;ביום העשירי נשיא לבני דן אחיעזר בן עמישדי
(201217, 59, 4);300;ש;201276;(4, 7, 67, 55, 201276);הקדש;4;53065;(4, 7, 67, 14, 53065);14;קרבנו קערת כסף אחת שלשים ומאה משקלה מזרק אחד כסף שבעים שקל בשקל הקדש שניהם מלאים סלת בלולה בשמן למנחה
(201217, 59, 4);10;י;201335;(4, 7, 69, 12, 201335);איל;2;53082;(4, 7, 69, 5, 53082);5;פר אחד בן בקר איל אחד כבש אחד בן שנתו לעלה
(201217, 59, 4);8;ח;201394;(4, 7, 71, 23, 201394);חמשה;1;53098;(4, 7, 71, 6, 53098);6;ולזבח השלמים בקר שנים אילם חמשה עתדים חמשה כבשים בני שנה חמשה זה קרבן אחיעזר בן עמישדי
