(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(123260, -58, 4);40;ם;123260;(2, 30, 5, 12, 123260);הבדים;5;32509;(2, 30, 5, 3, 32509);3;ועשית את הבדים עצי שטים וצפית אתם זהב
(123260, -58, 4);300;ש;123202;(2, 30, 4, 28, 123202);שתי;1;32495;(2, 30, 4, 9, 32495);9;ושתי טבעת זהב תעשה לו מתחת לזרו על שתי צלעתיו תעשה על שני צדיו והיה לבתים לבדים לשאת אתו בהמה
(123260, -58, 4);10;י;123144;(2, 30, 3, 28, 123144);קירתיו;5;32478;(2, 30, 3, 8, 32478);8;וצפית אתו זהב טהור את גגו ואת קירתיו סביב ואת קרנתיו ועשית לו זר זהב סביב
(123260, -58, 4);8;ח;123086;(2, 30, 2, 13, 123086);רחבו;2;32464;(2, 30, 2, 4, 32464);4;אמה ארכו ואמה רחבו רבוע יהיה ואמתים קמתו ממנו קרנתיו
