ELS Search Term;(ELS Search Term #, [Gematria LetterValues], Gematria WordTotal);Gematria WordTotal;# Positive ELS Matches;# Negative ELS Matches
המשיח;(1, [5, 40, 300, 10, 8], 363);363;34;27
משיחי;(2, [40, 300, 10, 8, 10], 368);368;58;37
משיחו;(3, [40, 300, 10, 8, 6], 364);364;39;26
משיח;(4, [40, 300, 10, 8], 358);358;366;332
מי המשיח;(5, [40, 10, 5, 40, 300, 10, 8], 413);413;0;1
מי משיחי;(6, [40, 10, 40, 300, 10, 8, 10], 418);418;1;0
מי משיחו;(7, [40, 10, 40, 300, 10, 8, 6], 414);414;0;0
מי משיח;(8, [40, 10, 40, 300, 10, 8], 408);408;3;3
