(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(13788, -95, 4);40;ם;13788;(1, 11, 25, 49, 13788);בנים;4;3691;(1, 11, 25, 13, 3691);13;ויחי נחור אחרי הולידו את תרח תשע עשרה שנה ומאת שנה ויולד בנים ובנות
(13788, -95, 4);300;ש;13693;(1, 11, 23, 30, 13693);שנה;1;3667;(1, 11, 23, 8, 3667);8;ויחי שרוג אחרי הולידו את נחור מאתים שנה ויולד בנים ובנות
(13788, -95, 4);10;י;13598;(1, 11, 21, 15, 13598);הולידו;4;3643;(1, 11, 21, 4, 3643);4;ויחי רעו אחרי הולידו את שרוג שבע שנים ומאתים שנה ויולד בנים ובנות
(13788, -95, 4);8;ח;13503;(1, 11, 19, 3, 13503);ויחי;3;3619;(1, 11, 19, 1, 3619);1;ויחי פלג אחרי הולידו את רעו תשע שנים ומאתים שנה ויולד בנים ובנות
