(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(98032, 13, 4);40;ם;98032;(2, 13, 22, 37, 98032);העם;3;25870;(2, 13, 22, 10, 25870);10;לא ימיש עמוד הענן יומם ועמוד האש לילה לפני העם
(98032, 13, 4);300;ש;98045;(2, 14, 1, 13, 98045);משה;2;25874;(2, 14, 1, 4, 25874);4;וידבר יהוה אל משה לאמר
(98032, 13, 4);10;י;98058;(2, 14, 2, 8, 98058);בני;3;25878;(2, 14, 2, 3, 25878);3;דבר אל בני ישראל וישבו ויחנו לפני פי החירת בין מגדל ובין הים לפני בעל צפן נכחו תחנו על הים
(98032, 13, 4);8;ח;98071;(2, 14, 2, 21, 98071);ויחנו;3;25881;(2, 14, 2, 6, 25881);6;דבר אל בני ישראל וישבו ויחנו לפני פי החירת בין מגדל ובין הים לפני בעל צפן נכחו תחנו על הים
