(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(115930, 54, 4);40;מ;115930;(2, 26, 13, 12, 115930);והאמה;4;30644;(2, 26, 13, 3, 30644);3;והאמה מזה והאמה מזה בעדף בארך יריעת האהל יהיה סרוח על צדי המשכן מזה ומזה לכסתו
(115930, 54, 4);300;ש;115984;(2, 26, 14, 3, 115984);ועשית;3;30658;(2, 26, 14, 1, 30658);1;ועשית מכסה לאהל ערת אילם מאדמים ומכסה ערת תחשים מלמעלה
(115930, 54, 4);10;י;116038;(2, 26, 15, 12, 116038);הקרשים;5;30670;(2, 26, 15, 3, 30670);3;ועשית את הקרשים למשכן עצי שטים עמדים
(115930, 54, 4);8;ח;116092;(2, 26, 16, 36, 116092);האחד;3;30684;(2, 26, 16, 10, 30684);10;עשר אמות ארך הקרש ואמה וחצי האמה רחב הקרש האחד
