(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(132290, 54, 4);40;מ;132290;(2, 35, 28, 23, 132290);ולשמן;4;34931;(2, 35, 28, 6, 34931);6;ואת הבשם ואת השמן למאור ולשמן המשחה ולקטרת הסמים
(132290, 54, 4);300;ש;132344;(2, 35, 29, 37, 132344);אשר;2;34945;(2, 35, 29, 11, 34945);11;כל איש ואשה אשר נדב לבם אתם להביא לכל המלאכה אשר צוה יהוה לעשות ביד משה הביאו בני ישראל נדבה ליהוה
(132290, 54, 4);10;י;132398;(2, 35, 30, 13, 132398);בני;3;34959;(2, 35, 30, 4, 34959);4;ויאמר משה אל בני ישראל ראו קרא יהוה בשם בצלאל בן אורי בן חור למטה יהודה
(132290, 54, 4);8;ח;132452;(2, 35, 31, 11, 132452);רוח;3;34974;(2, 35, 31, 3, 34974);3;וימלא אתו רוח אלהים בחכמה בתבונה ובדעת ובכל מלאכה
