ת;ד;ל;י;מ;ה;ן;ר;מ;א;ת;ו;ם;י;ד;ל;י;ה;ת;א;(2, 1, 18, 50, 761)
י;ר;צ;מ;ה;ם;י;ש;נ;כ;א;ל;י;כ;ה;ע;ר;פ;ל;א;(2, 1, 19, 13, 781)
ם;ר;ט;ב;ה;נ;ה;ת;ו;י;ח;י;כ;ת;י;ר;ב;ע;ה;ת;(2, 1, 19, 33, 801)
ו;ו;ד;ל;י;ו;ת;ד;ל;י;מ;ה;ן;ה;ל;א;א;ו;ב;ת;(2, 1, 19, 53, 821)
ה;ב;ר;י;ו;ת;ד;ל;י;מ;ל;ם;י;ה;ל;א;ב;ט;י;י;(2, 1, 20, 2, 841)
א;ר;י;י;כ;י;ה;י;ו;ד;א;מ;ו;מ;צ;ע;י;ו;ם;ע;(2, 1, 20, 22, 861)
ל;ש;ע;י;ו;ם;י;ה;ל;א;ה;ת;א;ת;ד;ל;י;מ;ה;ו;(2, 1, 21, 10, 881)
ו;מ;ע;ל;כ;ל;ה;ע;ר;פ;ו;צ;י;ו;ם;י;ת;ב;ם;ה;(2, 1, 21, 30, 901)
ת;ה;ר;א;י;ה;ד;ו;ל;י;ה;ן;ב;ה;ל;כ;ר;מ;א;ל;(2, 1, 22, 15, 921)
ל;י;ו;ן;ו;י;ח;ת;ת;ב;ה;ל;כ;ו;ו;ה;כ;י;ל;ש;(2, 1, 22, 35, 941)
ל;ת;ב;ת;א;ח;ק;י;ו;י;ו;ל;ת;י;ב;מ;ש;י;א;ך;(2, 2, 1, 4, 961)
א;ר;ת;ו;ן;ב;ד;ל;ת;ו;ה;ש;א;ה;ר;ה;ת;ו;י;ו;(2, 2, 1, 24, 981)
ל;ש;ו;ה;נ;פ;צ;ת;ו;א;ו;ה;ב;ו;ט;י;כ;ו;ת;א;(2, 2, 2, 19, 1001)
פ;צ;ה;ד;ו;ע;ה;ל;כ;י;א;ל;ו;ם;י;ח;ר;י;ה;ש;(2, 2, 2, 39, 1021)
ר;מ;ח;ת;ו;א;מ;ג;ת;ב;ת;ו;ל;ח;ק;ת;ו;ו;נ;י;(2, 2, 3, 14, 1041)
י;ה;ת;א;ה;ב;ם;ש;ת;ו;ת;פ;ז;ב;ו;ר;מ;ח;ב;ה;(2, 2, 3, 34, 1061)
ו;ר;א;י;ה;ת;פ;ש;ל;ע;ף;ו;ס;ב;ם;ש;ת;ו;ד;ל;(2, 2, 3, 54, 1081)
ע;י;ה;מ;ה;ע;ד;ל;ק;ח;ר;מ;ו;ת;ח;א;ב;צ;ת;ת;(2, 2, 4, 2, 1101)
ל;ע;ץ;ח;ר;ל;ה;ע;ר;פ;ת;ב;ד;ר;ת;ו;ו;ל;ה;ש;(2, 2, 4, 22, 1121)
ה;ד;י;ל;ע;ת;כ;ל;ה;ה;י;ת;ר;ע;נ;ו;ר;א;י;ה;(2, 2, 5, 17, 1141)
ו;ס;ה;ך;ו;ת;ב;ה;ב;ת;ה;ת;א;א;ר;ת;ו;ר;א;י;(2, 2, 5, 37, 1161)
פ;ת;ו;ה;ח;ק;ת;ו;ה;ת;מ;א;ת;א;ח;ל;ש;ת;ו;ף;(2, 2, 5, 57, 1181)
ע;נ;ה;נ;ה;ו;ד;ל;י;ה;ת;א;ו;ה;א;ר;ת;ו;ח;ת;(2, 2, 6, 4, 1201)
י;מ;ר;מ;א;ת;ו;ו;י;ל;ע;ל;מ;ח;ת;ו;ה;כ;ב;ר;(2, 2, 6, 24, 1221)
ו;ת;ח;א;ר;מ;א;ת;ו;ה;ז;ם;י;ר;ב;ע;ה;י;ד;ל;(2, 2, 6, 44, 1241)
ך;ל;י;ת;א;ר;ק;ו;ך;ל;א;ה;ה;ע;ר;פ;ת;ב;ל;א;(2, 2, 7, 10, 1261)
נ;י;ת;ו;ת;י;ר;ב;ע;ה;ן;מ;ת;ק;נ;י;מ;ה;ש;א;(2, 2, 7, 30, 1281)
ר;פ;ת;ב;ה;ל;ר;מ;א;ת;ו;ד;ל;י;ה;ת;א;ך;ל;ק;(2, 2, 7, 50, 1301)
א;א;ר;ק;ת;ו;ה;מ;ל;ע;ה;ך;ל;ת;ו;י;כ;ל;ה;ע;(2, 2, 8, 12, 1321)
ה;ע;ר;פ;ת;ב;ה;ל;ר;מ;א;ת;ו;ד;ל;י;ה;ם;א;ת;(2, 2, 8, 32, 1341)
ק;נ;י;ה;ו;ה;ז;ה;ד;ל;י;ה;ת;א;י;כ;י;ל;י;ה;(2, 2, 9, 14, 1361)
ק;ת;ו;ך;ר;כ;ש;ת;א;ן;ת;א;י;נ;א;ו;י;ל;ו;ה;(2, 2, 9, 34, 1381)
