ELS Search Term;(ELS Search Term #, [Gematria LetterValues], Gematria WordTotal);# Positive ELS Matches;# Negative ELS Matches
המשיח;(1, [5, 40, 300, 10, 8], 363);35;26
משיחי;(2, [40, 300, 10, 8, 10], 368);55;37
משיח;(3, [40, 300, 10, 8], 358);364;320
